#options: 1280x720 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=8 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=60 rc=abr mbtree=1 bitrate=1000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:86 out:84 type:P dur:2 cpbdur:2 q:30.74 aq:24.88 tex:26699 mv:6032 misc:3277 imb:32 pmb:1270 smb:2298 d:s ref:0 ;
in:84 out:85 type:B dur:2 cpbdur:2 q:30.75 aq:27.17 tex:388 mv:293 misc:367 imb:0 pmb:27 smb:3573 d:t ref:0 ;
in:85 out:86 type:b dur:2 cpbdur:2 q:30.74 aq:23.69 tex:95 mv:245 misc:292 imb:0 pmb:17 smb:3583 d:- ref:0 ;
in:90 out:87 type:P dur:2 cpbdur:2 q:30.33 aq:25.20 tex:31675 mv:8722 misc:3347 imb:76 pmb:1593 smb:1931 d:s ref:0 ;
in:88 out:88 type:B dur:2 cpbdur:2 q:30.53 aq:30.94 tex:829 mv:2930 misc:1849 imb:1 pmb:407 smb:3192 d:s ref:0 ;
in:87 out:89 type:b dur:2 cpbdur:2 q:30.63 aq:24.07 tex:50 mv:118 misc:256 imb:0 pmb:7 smb:3593 d:s ref:0 ;
in:89 out:90 type:b dur:2 cpbdur:2 q:30.43 aq:27.99 tex:120 mv:422 misc:442 imb:0 pmb:41 smb:3559 d:- ref:0 ;
in:94 out:91 type:P dur:2 cpbdur:2 q:29.55 aq:25.71 tex:20906 mv:5487 misc:3007 imb:49 pmb:1069 smb:2482 d:s ref:0 ;
in:92 out:92 type:B dur:2 cpbdur:2 q:29.94 aq:28.72 tex:4076 mv:3543 misc:2293 imb:8 pmb:659 smb:2933 d:s ref:0 ;
in:91 out:93 type:b dur:2 cpbdur:2 q:30.13 aq:21.00 tex:3 mv:94 misc:255 imb:0 pmb:9 smb:3591 d:s ref:0 ;
in:93 out:94 type:b dur:2 cpbdur:2 q:29.74 aq:23.80 tex:154 mv:1016 misc:1230 imb:0 pmb:234 smb:3366 d:- ref:0 ;
in:98 out:95 type:P dur:2 cpbdur:2 q:28.77 aq:27.80 tex:6909 mv:5590 misc:2733 imb:59 pmb:796 smb:2745 d:s ref:0 ;
in:96 out:96 type:B dur:2 cpbdur:2 q:29.16 aq:27.23 tex:8143 mv:6897 misc:3096 imb:8 pmb:996 smb:2596 d:s ref:0 ;
in:95 out:97 type:b dur:2 cpbdur:2 q:29.35 aq:29.25 tex:839 mv:1075 misc:758 imb:0 pmb:112 smb:3488 d:s ref:0 ;
in:97 out:98 type:b dur:2 cpbdur:2 q:28.96 aq:29.23 tex:1462 mv:3024 misc:1850 imb:2 pmb:415 smb:3183 d:- ref:0 ;
in:99 out:99 type:I dur:2 cpbdur:2 q:28.18 aq:20.92 tex:253276 mv:101624 misc:188 imb:3600 pmb:0 smb:0 d:s ref:;
in:103 out:100 type:P dur:2 cpbdur:2 q:29.04 aq:21.61 tex:56072 mv:17967 misc:1881 imb:213 pmb:2922 smb:465 d:s ref:0 ;
in:101 out:101 type:B dur:2 cpbdur:2 q:29.04 aq:23.25 tex:4610 mv:5054 misc:2344 imb:0 pmb:724 smb:2876 d:s ref:0 ;
in:100 out:102 type:b dur:2 cpbdur:2 q:29.04 aq:23.38 tex:1199 mv:2075 misc:1398 imb:0 pmb:315 smb:3285 d:s ref:0 ;
in:102 out:103 type:b dur:2 cpbdur:2 q:29.04 aq:23.60 tex:1012 mv:1454 misc:1150 imb:1 pmb:202 smb:3397 d:- ref:0 ;
in:108 out:104 type:P dur:2 cpbdur:2 q:28.53 aq:21.28 tex:82473 mv:20678 misc:2537 imb:378 pmb:2470 smb:752 d:s ref:0 ;
in:105 out:105 type:B dur:2 cpbdur:2 q:28.83 aq:23.09 tex:10961 mv:8316 misc:2731 imb:15 pmb:940 smb:2645 d:t ref:0 ;
in:104 out:106 type:b dur:2 cpbdur:2 q:28.94 aq:25.75 tex:1078 mv:1692 misc:1086 imb:0 pmb:211 smb:3389 d:s ref:0 ;
in:106 out:107 type:b dur:2 cpbdur:2 q:28.73 aq:25.78 tex:2386 mv:3022 misc:1488 imb:3 pmb:332 smb:3265 d:- ref:0 ;
in:107 out:108 type:b dur:2 cpbdur:2 q:28.63 aq:27.26 tex:2013 mv:3017 misc:1274 imb:4 pmb:297 smb:3299 d:- ref:0 ;
in:114 out:109 type:P dur:2 cpbdur:2 q:27.95 aq:20.84 tex:108827 mv:24830 misc:2327 imb:513 pmb:2356 smb:731 d:s ref:0 ;
in:111 out:110 type:B dur:2 cpbdur:2 q:28.24 aq:22.74 tex:25920 mv:15667 misc:3381 imb:89 pmb:1517 smb:1994 d:s ref:0 ;
in:109 out:111 type:b dur:2 cpbdur:2 q:28.43 aq:27.44 tex:2795 mv:4056 misc:1429 imb:6 pmb:359 smb:3235 d:s ref:0 ;
